Gene_Symbol	type	file	classification
A1CF	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
AAK1	Kinase	Kincat_Hsap.08.02.txt, PfamKinase, OncoKBv20240704	NA
AATK	Kinase	PfamKinase, OncoKBv20240704	NA
ABCG2	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ABI1	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
ABI2	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ABL1	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704	Oncogene
ABL2	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704	Oncogene
ABRAXAS1	TumorSuppressorGene	OncoKBv20240704	TumorSuppressorGene
AC008770.3	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
AC023509.3	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
AC092835.1	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
AC138696.1	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ACHE	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ACK	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ACKR3	CosmicCensus, Oncogene, TumorSuppressorGene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	Oncogene, TumorSuppressorGene
ACSL3	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
ACSL6	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
ACTG1	TumorSuppressorGene	OncoKBv20240704	TumorSuppressorGene
ACTR2	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ACTR2B	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ACVR1	CosmicCensus, Kinase, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704	Oncogene
ACVR1B	Kinase, TumorSuppressorGene	PfamKinase, OncoKBv20240704	TumorSuppressorGene
ACVR1C	TumorSuppressorGene, Kinase	TumorSuppressorGene.txt, PfamKinase, OncoKBv20240704	NA
ACVR2A	CosmicCensus, Kinase	Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704	NA
ACVR2B	Kinase	PfamKinase, OncoKBv20240704	NA
ACVRL1	Kinase	PfamKinase, OncoKBv20240704	NA
ACY1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ADAMTS18	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ADAMTS8	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ADAMTS9	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ADAMTS9-AS2	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ADARB1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
ADCK1	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ADCK2	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ADCK3	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ADCK4	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ADCK5	Kinase	Kincat_Hsap.08.02.txt, OncoKBv20240704	NA
ADHFE1	Oncogene	OncoKBv20240704	Oncogene
ADNP	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ADNP2	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
ADPRH	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AEBP1	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
AEBP2	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
AFAP1L2	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AFDN	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
AFF1	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
AFF3	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
AFF4	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	Oncogene
AGO1	Oncogene	OncoKBv20240704	Oncogene
AGTR1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AHCTF1	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
AHCYL1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AHDC1	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
AHNAK	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AHR	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv, OncoKBv20240704	NA
AHRR	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv, OncoKBv20240704	NA
AIF1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AIM2	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AIMP1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AIMP2	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AIP	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AIRE	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
AJAP1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AJUBA	TumorSuppressorGene	OncoKBv20240704	TumorSuppressorGene
AKAP12	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AKAP8	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
AKAP8L	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
AKAP9	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv, OncoKBv20240704	NA
AKNA	TranscriptionFactor	addTF_JL.tsv, OncoKBv20240704	NA
AKR1B1	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
AKT1	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704	Oncogene
AKT2	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704	Oncogene
AKT3	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, PfamKinase, OncoKBv20240704	Oncogene
ALDH18A1	Kinase	PfamKinase, OncoKBv20240704	NA
ALDH1A2	TumorSuppressorGene	TumorSuppressorGene.txt, OncoKBv20240704	NA
